,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
0,2022-04-20,'300750,宁德时代,407.0,443.0,405.78,439.01,440.26,-33.26,-7.5546,1.3458,31199615,12923538889.4,948656438400.0,943545930690.0,159557
1,2022-04-19,'300750,宁德时代,440.26,459.58,438.45,450.46,451.0,-10.74,-2.3814,0.6204,14382133,6429594317.75,1026180549310.0,1020652411410.0,79775
2,2022-04-18,'300750,宁德时代,451.0,451.98,435.3,442.0,450.86,0.14,0.0311,0.5158,11957617,5318801159.41,1051213891200.0,1045550896170.0,64750
3,2022-04-15,'300750,宁德时代,450.86,456.99,432.77,451.14,459.8,-8.94,-1.9443,0.8622,19989104,8854163487.94,1050887572030.0,1045226334920.0,110165
4,2022-04-14,'300750,宁德时代,459.8,476.0,454.0,475.0,466.0,-6.2,-1.3305,0.5932,13752370,6360122750.6,1071725381760.0,1065951889270.0,69419
5,2022-04-13,'300750,宁德时代,466.0,481.8,462.0,465.89,472.0,-6.0,-1.2712,0.4108,9523122,4479994702.53,1086176659200.0,1080325316220.0,49766
6,2022-04-12,'300750,宁德时代,472.0,472.78,460.5,460.77,459.0,13.0,2.8322,0.5391,12498201,5825410117.32,1100161766400.0,1094235084240.0,66603
7,2022-04-11,'300750,宁德时代,459.0,478.0,452.1,475.27,495.0,-36.0,-7.2727,0.8945,20738205,9541686135.04,1069860700800.0,1064097253530.0,109520
8,2022-04-08,'300750,宁德时代,495.0,504.87,489.0,492.7,495.22,-0.22,-0.0444,0.4036,9357130,4635752788.29,1153771344000.0,1147555861650.0,52573
9,2022-04-07,'300750,宁德时代,495.22,505.0,487.05,500.55,508.17,-12.95,-2.5484,0.5158,11958082,5909983777.64,1154284131260.0,1148065886480.0,71557
10,2022-04-06,'300750,宁德时代,508.17,518.0,503.0,516.52,518.9,-10.73,-2.0678,0.3685,8542810,4336158375.45,1184468654300.0,1178087802450.0,48873
11,2022-04-01,'300750,宁德时代,518.9,524.5,505.13,508.0,512.3,6.6,1.2883,0.4106,9518241,4923473198.49,1209478687680.0,1202963104260.0,54420
12,2022-03-31,'300750,宁德时代,512.3,518.0,503.15,515.15,519.0,-6.7,-1.2909,0.4151,9623922,4899473611.96,1194095069760.0,1187662359440.0,53916
13,2022-03-30,'300750,宁德时代,519.0,519.0,492.0,492.0,486.9,32.1,6.5927,0.6995,16216979,8276504323.97,1209711772800.0,1203194933730.0,82266
14,2022-03-29,'300750,宁德时代,486.9,500.0,482.0,487.0,487.0,-0.1,-0.0205,0.4847,11235947,5508775198.92,1134891449280.0,1128777674820.0,64362
15,2022-03-28,'300750,宁德时代,487.0,508.88,478.08,508.88,502.07,-15.07,-3.0016,0.6447,14946512,7277413365.95,1135124534400.0,1129009504290.0,81124
16,2022-03-25,'300750,宁德时代,502.07,518.18,502.0,511.92,514.0,-11.93,-2.321,0.4005,9283639,4724122668.33,1170250461980.0,1163946204970.0,49196
17,2022-03-24,'300750,宁德时代,514.0,517.68,498.38,509.95,515.29,-1.29,-0.2503,0.3658,8480580,4303359299.21,1198057516800.0,1191603460380.0,50814
18,2022-03-23,'300750,宁德时代,515.29,522.98,509.9,520.0,513.0,2.29,0.4464,0.3628,8410966,4336729378.45,1201064314850.0,1194594060500.0,48068
19,2022-03-22,'300750,宁德时代,513.0,520.0,507.0,520.0,520.0,-7.0,-1.3462,0.4412,10228257,5229898248.47,1195726665600.0,1189285165710.0,59144
20,2022-03-21,'300750,宁德时代,520.0,534.2,517.6,520.0,510.5,9.5,1.8609,0.5881,13634076,7164824307.35,1212042624000.0,1205513228400.0,67480
21,2022-03-18,'300750,宁德时代,510.5,524.47,504.0,519.0,524.5,-14.0,-2.6692,0.7071,16391807,8401871659.77,1189899537600.0,1183489429040.0,81117
22,2022-03-17,'300750,宁德时代,524.5,535.0,515.1,517.5,503.1,21.4,4.2536,1.1918,27630079,14545565578.4,1222531454400.0,1215945554420.0,121132
23,2022-03-16,'300750,宁德时代,503.1,503.47,468.49,476.2,463.2,39.9,8.614,1.2174,28223653,13816433731.6,1172651238720.0,1166334048480.0,130757
24,2022-03-15,'300750,宁德时代,463.2,481.29,450.6,461.0,463.0,0.2,0.0432,0.9174,21268688,9944131722.35,1079650275840.0,1073834091140.0,102770
25,2022-03-14,'300750,宁德时代,463.0,487.23,463.0,483.0,493.55,-30.55,-6.1898,0.7027,16291014,7715325213.16,1079184105600.0,1073370432210.0,88138
26,2022-03-11,'300750,宁德时代,493.55,495.0,474.1,480.83,490.81,2.74,0.5583,0.7377,17102172,8275317081.21,1150391609760.0,1144194334380.0,78512
27,2022-03-10,'300750,宁德时代,490.81,505.55,485.31,490.0,473.47,17.34,3.6623,1.0336,23961693,11860996849.5,1144005077470.0,1137842206980.0,102905
28,2022-03-09,'300750,宁德时代,473.47,474.0,448.0,456.0,455.45,18.02,3.9565,1.0118,23457419,10851981839.3,1103588117660.0,1097642977400.0,107522
29,2022-03-08,'300750,宁德时代,455.45,466.46,443.01,463.98,454.89,0.56,0.1231,0.9815,22754060,10355465375.1,1061586179040.0,1055867307450.0,107845
30,2022-03-07,'300750,宁德时代,454.89,485.0,454.01,475.0,491.79,-36.9,-7.5032,1.0611,24599264,11425969374.3,1060280902370.0,1054569062440.0,122818
31,2022-03-04,'300750,宁德时代,491.79,509.0,488.0,505.0,512.99,-21.2,-4.1326,0.7024,16283350,8081812311.2,1146289311650.0,1140114135760.0,90230
32,2022-03-03,'300750,宁德时代,512.99,518.8,506.97,517.2,513.84,-0.85,-0.1654,0.3752,8698927,4456406594.39,1195703357090.0,1189261982760.0,42539
33,2022-03-02,'300750,宁德时代,513.84,531.79,508.88,531.0,536.18,-22.34,-4.1665,0.5786,13412932,6925800187.95,1197684580610.0,1191232533230.0,67973
34,2022-03-01,'300750,宁德时代,536.18,548.08,530.0,539.2,533.36,2.82,0.5287,0.4205,9749032,5244201447.78,1249755796420.0,1243023236160.0,48391
